Agent: ppo, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 146, Reward: 488.4126, Test: 487.3098 [225.63], Avg: 519.4079 (0.10)
Ep: 147, Reward: 505.6009, Test: 601.1365 [148.52], Avg: 518.9211 (0.10)
Ep: 148, Reward: 546.2331, Test: 592.1504 [253.65], Avg: 518.0600 (0.10)
Ep: 149, Reward: 653.5996, Test: 609.0749 [256.92], Avg: 519.9555 (0.10)
Ep: 150, Reward: 588.3418, Test: 595.9699 [258.75], Avg: 519.8712 (0.10)
Ep: 151, Reward: 633.2586, Test: 681.0483 [222.01], Avg: 520.4253 (0.10)
Ep: 152, Reward: 675.5092, Test: 604.0076 [204.66], Avg: 518.9151 (0.10)
Ep: 153, Reward: 769.0262, Test: 749.1898 [133.35], Avg: 519.9965 (0.10)
Ep: 154, Reward: 727.2791, Test: 678.7629 [154.15], Avg: 521.1308 (0.10)
Ep: 155, Reward: 842.4015, Test: 652.5488 [237.72], Avg: 521.2406 (0.10)
Ep: 156, Reward: 828.7660, Test: 647.0610 [191.96], Avg: 519.9635 (0.10)
Ep: 157, Reward: 736.2433, Test: 570.6108 [243.77], Avg: 519.5964 (0.10)
Ep: 158, Reward: 560.7567, Test: 625.6217 [139.46], Avg: 519.9306 (0.10)
Ep: 159, Reward: 586.6962, Test: 642.2828 [232.13], Avg: 520.2458 (0.10)
Ep: 160, Reward: 623.5440, Test: 466.2687 [245.76], Avg: 517.9402 (0.10)
Ep: 161, Reward: 643.6464, Test: 726.5402 [207.39], Avg: 517.6854 (0.10)
Ep: 162, Reward: 536.8073, Test: 687.1961 [260.21], Avg: 515.8536 (0.10)
Ep: 163, Reward: 588.1052, Test: 636.6338 [248.84], Avg: 515.5281 (0.10)
Ep: 164, Reward: 700.6018, Test: 686.9603 [214.61], Avg: 515.7410 (0.10)
Ep: 165, Reward: 766.6701, Test: 582.4809 [281.35], Avg: 515.0875 (0.10)
Ep: 166, Reward: 586.4912, Test: 789.6711 [148.65], Avg: 514.6121 (0.10)
Ep: 167, Reward: 649.7577, Test: 651.4858 [217.19], Avg: 514.4709 (0.10)
Ep: 168, Reward: 668.2384, Test: 611.0083 [238.97], Avg: 513.1158 (0.10)
Ep: 169, Reward: 683.5897, Test: 620.8178 [283.72], Avg: 512.9874 (0.10)
Ep: 170, Reward: 621.8958, Test: 489.4239 [250.87], Avg: 511.3845 (0.10)
Ep: 171, Reward: 442.3553, Test: 555.2965 [247.69], Avg: 510.6653 (0.10)
Ep: 172, Reward: 542.2630, Test: 594.1475 [149.93], Avg: 511.4654 (0.10)
Ep: 173, Reward: 523.2473, Test: 373.3549 [164.39], Avg: 509.8121 (0.10)
Ep: 174, Reward: 437.2812, Test: 472.8993 [290.91], Avg: 510.1697 (0.10)
Ep: 175, Reward: 435.3017, Test: 379.8599 [252.14], Avg: 508.8418 (0.10)
Ep: 176, Reward: 471.1114, Test: 570.1833 [231.48], Avg: 508.3923 (0.10)
Ep: 177, Reward: 497.2760, Test: 531.0200 [221.82], Avg: 507.8615 (0.10)
Ep: 178, Reward: 586.8837, Test: 505.3626 [290.05], Avg: 506.8411 (0.10)
Ep: 179, Reward: 510.6670, Test: 624.8343 [212.86], Avg: 507.3361 (0.10)
Ep: 180, Reward: 568.7784, Test: 684.8191 [261.42], Avg: 508.9905 (0.10)
Ep: 181, Reward: 545.7819, Test: 583.8185 [266.72], Avg: 510.2879 (0.10)
Ep: 182, Reward: 455.2246, Test: 391.9093 [225.86], Avg: 509.3046 (0.10)
Ep: 183, Reward: 476.9062, Test: 495.3136 [230.79], Avg: 509.5467 (0.10)
Ep: 184, Reward: 561.8456, Test: 473.7971 [247.15], Avg: 509.4666 (0.10)
Ep: 185, Reward: 459.9905, Test: 429.2475 [285.17], Avg: 510.2354 (0.10)
Ep: 186, Reward: 362.2783, Test: 356.2467 [203.44], Avg: 509.4276 (0.10)
Ep: 187, Reward: 536.2004, Test: 516.5971 [236.82], Avg: 512.1619 (0.10)
Ep: 188, Reward: 484.8395, Test: 383.1375 [134.70], Avg: 511.7917 (0.10)
Ep: 189, Reward: 392.0879, Test: 478.3245 [225.18], Avg: 512.0148 (0.10)
Ep: 190, Reward: 433.8087, Test: 478.4001 [247.15], Avg: 512.8444 (0.10)
Ep: 191, Reward: 429.7645, Test: 470.7284 [316.37], Avg: 513.1584 (0.10)
Ep: 192, Reward: 520.3800, Test: 563.4323 [261.02], Avg: 512.9597 (0.10)
Ep: 193, Reward: 557.3729, Test: 410.8300 [302.13], Avg: 511.2597 (0.10)
Ep: 194, Reward: 507.2158, Test: 440.6640 [259.18], Avg: 510.7726 (0.10)
Ep: 195, Reward: 538.3951, Test: 590.2616 [274.10], Avg: 513.1191 (0.10)
Ep: 196, Reward: 492.5207, Test: 316.2857 [257.75], Avg: 509.3871 (0.10)
