Agent: ppo, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 147, Reward: 43.8464, Test: 32.2232 [70.65008942103034], Avg: -15.2278 (0.1000)
Ep: 148, Reward: 57.2848, Test: 27.0558 [83.10469657447793], Avg: -14.2249 (0.1000)
Ep: 149, Reward: 70.4760, Test: 95.1326 [100.32562340815717], Avg: -12.8252 (0.1000)
Ep: 150, Reward: 100.6914, Test: 21.5122 [44.90989770061584], Avg: -12.1655 (0.1000)
Ep: 151, Reward: 55.5545, Test: 13.9364 [29.533486464398706], Avg: -11.3881 (0.1000)
Ep: 152, Reward: 38.2965, Test: 20.4497 [47.10528702986219], Avg: -10.7911 (0.1000)
Ep: 153, Reward: 68.2969, Test: 46.7659 [99.05489710901051], Avg: -9.9902 (0.1000)
Ep: 154, Reward: 14.1772, Test: -20.4331 [39.11440493365302], Avg: -9.4984 (0.1000)
Ep: 155, Reward: 10.6740, Test: -9.0910 [44.14084334580448], Avg: -9.0391 (0.1000)
Ep: 156, Reward: -11.4484, Test: 20.1064 [69.81132000725803], Avg: -8.3971 (0.1000)
Ep: 157, Reward: 24.9308, Test: 12.0596 [57.90102397327459], Avg: -7.7385 (0.1000)
Ep: 158, Reward: 39.7841, Test: 88.4236 [103.39837228014913], Avg: -6.3626 (0.1000)
Ep: 159, Reward: 46.7066, Test: 53.8602 [57.70851566767099], Avg: -5.5295 (0.1000)
Ep: 160, Reward: 64.0419, Test: 45.6868 [72.91105462522455], Avg: -4.4639 (0.1000)
Ep: 161, Reward: 80.8942, Test: 3.0173 [36.015401651335495], Avg: -3.8823 (0.1000)
Ep: 162, Reward: 41.2314, Test: 7.0023 [33.067775174911], Avg: -3.2459 (0.1000)
Ep: 163, Reward: 6.9861, Test: 28.3346 [26.709633302158498], Avg: -2.3469 (0.1000)
Ep: 164, Reward: 50.8727, Test: 5.1270 [53.24096569352146], Avg: -1.6696 (0.1000)
Ep: 165, Reward: 61.9919, Test: 37.5436 [70.83809891408781], Avg: -0.6388 (0.1000)
Ep: 166, Reward: 80.4562, Test: 59.8835 [51.24358484919368], Avg: 0.6148 (0.1000)
Ep: 167, Reward: 89.3629, Test: 111.9336 [82.8748522302491], Avg: 2.3356 (0.1000)
Ep: 168, Reward: 92.4267, Test: 76.0537 [106.69738575389184], Avg: 3.6119 (0.1000)
Ep: 169, Reward: 109.7967, Test: 115.1103 [103.31170841006293], Avg: 5.4336 (0.1000)
Ep: 170, Reward: 180.6789, Test: 152.6015 [101.83632023568413], Avg: 7.5974 (0.1000)
Ep: 171, Reward: 139.3858, Test: 96.8568 [97.38546992797507], Avg: 9.3090 (0.1000)
Ep: 172, Reward: 158.0117, Test: 88.2528 [83.08005311529068], Avg: 10.6113 (0.1000)
Ep: 173, Reward: 128.8721, Test: 95.9127 [87.60781681185276], Avg: 12.0774 (0.1000)
Ep: 174, Reward: 72.8193, Test: 62.5071 [58.41816970601852], Avg: 13.3280 (0.1000)
Ep: 175, Reward: 64.0731, Test: 6.0482 [79.69179860288979], Avg: 13.8772 (0.1000)
Ep: 176, Reward: 34.4708, Test: 2.7312 [55.54573281446842], Avg: 14.5733 (0.1000)
Ep: 177, Reward: 58.9009, Test: -0.3838 [35.10075190185454], Avg: 14.9897 (0.1000)
Ep: 178, Reward: 5.9319, Test: -27.1748 [20.434806626198494], Avg: 15.2511 (0.1000)
Ep: 179, Reward: -23.8259, Test: -30.6035 [35.81534992724839], Avg: 15.5565 (0.1000)
Ep: 180, Reward: -26.2244, Test: -51.7971 [25.36263194473902], Avg: 15.3872 (0.1000)
Ep: 181, Reward: -45.8668, Test: -4.6185 [40.2701157608255], Avg: 15.9124 (0.1000)
Ep: 182, Reward: -18.9193, Test: 26.4172 [71.75161978330515], Avg: 16.7594 (0.1000)
Ep: 183, Reward: 60.3143, Test: 24.7456 [51.98138426017509], Avg: 17.5232 (0.1000)
Ep: 184, Reward: 54.7169, Test: 29.3883 [69.38118434905937], Avg: 18.3140 (0.1000)
Ep: 185, Reward: 18.6531, Test: 0.7001 [40.062956502629504], Avg: 18.8729 (0.1000)
Ep: 186, Reward: 4.3568, Test: 6.1306 [38.26364493484316], Avg: 19.4715 (0.1000)
Ep: 187, Reward: 26.1853, Test: -13.5438 [41.55687559802544], Avg: 19.8504 (0.1000)
