Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 144, Reward: 82.5896, Test: 290.4485 [124.06], Avg: 119.1932 (0.23)
Ep: 145, Reward: 216.9673, Test: 403.1306 [262.20], Avg: 120.6254 (0.23)
Ep: 146, Reward: 163.5075, Test: 279.8610 [86.99], Avg: 122.0356 (0.23)
Ep: 147, Reward: 162.2903, Test: 278.2624 [188.93], Avg: 122.4061 (0.22)
Ep: 148, Reward: 198.4323, Test: 458.1000 [205.52], Avg: 123.4542 (0.22)
Ep: 149, Reward: 202.2796, Test: 376.1048 [190.34], Avg: 123.2201 (0.22)
Ep: 150, Reward: 239.2427, Test: 289.0336 [155.70], Avg: 123.1053 (0.22)
Ep: 151, Reward: 323.9811, Test: 341.0407 [91.55], Avg: 124.6000 (0.21)
Ep: 152, Reward: 257.7963, Test: 397.5815 [246.95], Avg: 125.2877 (0.21)
Ep: 153, Reward: 215.8304, Test: 417.1839 [230.82], Avg: 126.2107 (0.21)
Ep: 154, Reward: 241.4813, Test: 232.8033 [132.39], Avg: 124.7868 (0.21)
Ep: 155, Reward: 204.7488, Test: 365.4093 [162.52], Avg: 125.6748 (0.21)
Ep: 156, Reward: 350.7085, Test: 360.2899 [238.58], Avg: 125.4045 (0.20)
Ep: 157, Reward: 241.3885, Test: 259.4021 [44.45], Avg: 126.3635 (0.20)
Ep: 158, Reward: 331.1608, Test: 242.0133 [104.50], Avg: 126.1054 (0.20)
Ep: 159, Reward: 279.7085, Test: 416.6936 [189.17], Avg: 126.5779 (0.20)
Ep: 160, Reward: 522.0635, Test: 431.6515 [214.47], Avg: 127.6823 (0.20)
Ep: 161, Reward: 389.4370, Test: 299.1882 [159.59], Avg: 127.2029 (0.19)
Ep: 162, Reward: 321.6207, Test: 407.4436 [237.77], Avg: 126.7741 (0.19)
Ep: 163, Reward: 392.5286, Test: 247.3011 [199.50], Avg: 125.8126 (0.19)
Ep: 164, Reward: 358.4197, Test: 262.7155 [192.10], Avg: 124.8058 (0.19)
Ep: 165, Reward: 430.3854, Test: 321.7697 [143.44], Avg: 124.4975 (0.19)
Ep: 166, Reward: 472.1000, Test: 289.1147 [210.68], Avg: 123.4296 (0.18)
Ep: 167, Reward: 360.2903, Test: 263.7489 [131.86], Avg: 124.6585 (0.18)
Ep: 168, Reward: 474.5076, Test: 251.0598 [104.84], Avg: 124.9124 (0.18)
Ep: 169, Reward: 375.8067, Test: 327.1425 [85.81], Avg: 125.9170 (0.18)
Ep: 170, Reward: 423.5105, Test: 369.1567 [179.40], Avg: 126.6483 (0.18)
Ep: 171, Reward: 558.9828, Test: 399.7324 [189.51], Avg: 128.1414 (0.18)
Ep: 172, Reward: 464.9570, Test: 293.6243 [180.07], Avg: 127.4012 (0.17)
Ep: 173, Reward: 467.7551, Test: 405.1274 [168.85], Avg: 128.8876 (0.17)
Ep: 174, Reward: 582.7434, Test: 475.4243 [189.85], Avg: 130.7490 (0.17)
Ep: 175, Reward: 607.5540, Test: 409.4195 [161.31], Avg: 131.0611 (0.17)
Ep: 176, Reward: 617.5261, Test: 317.4716 [124.83], Avg: 131.9911 (0.17)
Ep: 177, Reward: 562.9370, Test: 468.8939 [220.97], Avg: 132.8810 (0.17)
Ep: 178, Reward: 534.0737, Test: 356.0641 [173.19], Avg: 133.8914 (0.16)
Ep: 179, Reward: 570.0544, Test: 651.0139 [225.95], Avg: 137.2901 (0.16)
Ep: 180, Reward: 609.4651, Test: 561.6394 [234.11], Avg: 137.9221 (0.16)
Ep: 181, Reward: 589.5209, Test: 412.9531 [212.47], Avg: 139.2137 (0.16)
Ep: 182, Reward: 575.1951, Test: 453.8668 [155.08], Avg: 141.2074 (0.16)
Ep: 183, Reward: 562.0194, Test: 467.2105 [253.59], Avg: 141.7984 (0.16)
Ep: 184, Reward: 598.0728, Test: 484.7045 [211.18], Avg: 142.1235 (0.15)
Ep: 185, Reward: 544.8840, Test: 287.9275 [66.24], Avg: 143.3903 (0.15)
Ep: 186, Reward: 578.9620, Test: 481.0257 [223.55], Avg: 145.2556 (0.15)
