Iteration 1
Ep: 1-170, Best score: 881.8700, Min: 690.7610, Avg: 791.8209
Ep: 1-169, Best score: 877.6469, Min: 683.2854, Avg: 797.0534
Ep: 1-168, Best score: 897.6796, Min: 766.7829, Avg: 830.0459
Ep: 1-167, Best score: 896.5453, Min: 749.8003, Avg: 833.5038
Ep: 1-166, Best score: 893.5886, Min: 675.6077, Avg: 797.6632
Ep: 1-165, Best score: 902.0571, Min: 775.8132, Avg: 828.1378
Ep: 1-164, Best score: 887.0961, Min: 699.4092, Avg: 811.7221
Ep: 1-163, Best score: 885.3786, Min: 619.6121, Avg: 794.1363
Ep: 1-162, Best score: 882.8079, Min: 575.5387, Avg: 803.8336
Ep: 1-161, Best score: 864.4026, Min: 701.3431, Avg: 796.4682
Ep: 1-160, Best score: 879.6416, Min: 633.5306, Avg: 783.8329
Ep: 1-159, Best score: 885.2359, Min: 696.2024, Avg: 800.9319
Ep: 1-158, Best score: 905.8109, Min: 673.5722, Avg: 787.1007
Ep: 1-157, Best score: 873.9801, Min: 446.1718, Avg: 786.0522
Ep: 1-156, Best score: 867.3182, Min: 685.4377, Avg: 772.3619
Ep: 1-155, Best score: 881.8493, Min: 679.3159, Avg: 810.5365
Ep: 1-154, Best score: 892.0884, Min: 631.6061, Avg: 791.2473
Ep: 1-153, Best score: 872.3665, Min: 611.9546, Avg: 785.3747
Ep: 1-152, Best score: 890.1308, Min: 610.4799, Avg: 809.4493
Ep: 1-151, Best score: 901.0000, Min: 780.8558, Avg: 835.6458
Ep: 1-150, Best score: 902.2045, Min: 574.9335, Avg: 784.2597
Ep: 1-149, Best score: 909.2750, Min: 482.8154, Avg: 781.3520
Ep: 1-148, Best score: 895.1217, Min: 526.3531, Avg: 790.5432
Ep: 1-147, Best score: 894.8577, Min: 671.5821, Avg: 783.1639
Ep: 1-146, Best score: 892.8114, Min: 591.2834, Avg: 808.0843
Ep: 1-145, Best score: 894.2206, Min: 678.1085, Avg: 822.3074
Ep: 1-144, Best score: 889.8945, Min: 609.1880, Avg: 770.4937
