Iteration 0
#Ep: 1-114, Best score: 686.2736, Min: 489.1183, Avg: 624.8803
#Ep: 1-113, Best score: 685.8060, Min: 533.4604, Avg: 591.8946
#Ep: 1-112, Best score: 766.8393, Min: 448.2938, Avg: 602.0531
#Ep: 1-111, Best score: 726.4474, Min: 375.8936, Avg: 548.7229
#Ep: 1-110, Best score: 695.2254, Min: 385.6346, Avg: 598.5082
#Ep: 1-109, Best score: 722.7610, Min: 331.6754, Avg: 542.7189
#Ep: 1-108, Best score: 772.1760, Min: 498.1373, Avg: 598.3547
#Ep: 1-107, Best score: 732.7994, Min: 524.0888, Avg: 620.9746
#Ep: 1-106, Best score: 691.2674, Min: 414.5703, Avg: 557.2407
#Ep: 1-105, Best score: 635.1846, Min: 448.3165, Avg: 552.8096
#Ep: 1-104, Best score: 664.4594, Min: 392.8347, Avg: 557.5403
#Ep: 1-103, Best score: 742.3901, Min: 402.1833, Avg: 531.7724
#Ep: 1-102, Best score: 681.8602, Min: 467.8606, Avg: 570.5882
#Ep: 1-101, Best score: 684.5786, Min: 391.3036, Avg: 565.9174
#Ep: 1-100, Best score: 725.5799, Min: 368.9886, Avg: 573.4002
#Ep: 1-99, Best score: 707.0288, Min: 515.1586, Avg: 601.8368
#Ep: 1-98, Best score: 793.4851, Min: 332.2864, Avg: 583.8235
#Ep: 1-97, Best score: 720.2631, Min: 497.6639, Avg: 592.0997
#Ep: 1-96, Best score: 715.8232, Min: 570.2523, Avg: 632.5085
#Ep: 1-95, Best score: 709.5409, Min: 427.9355, Avg: 607.6277
#Ep: 1-94, Best score: 716.8099, Min: 537.1393, Avg: 603.4659
#Ep: 1-93, Best score: 731.1372, Min: 466.3766, Avg: 602.6883
#Ep: 1-92, Best score: 720.3271, Min: 450.9404, Avg: 617.8829
#Ep: 1-91, Best score: 738.5753, Min: 560.1826, Avg: 643.7151
#Ep: 1-90, Best score: 739.7351, Min: 384.5255, Avg: 601.5550
#Ep: 1-89, Best score: 755.2412, Min: 482.8910, Avg: 588.3575
#Ep: 1-88, Best score: 720.0319, Min: 518.1023, Avg: 615.0275
#Ep: 1-87, Best score: 719.1137, Min: 341.9367, Avg: 585.4231
#Ep: 1-86, Best score: 731.6012, Min: 458.5272, Avg: 611.1514
#Ep: 1-85, Best score: 759.0966, Min: 441.4944, Avg: 584.0884
#Ep: 1-84, Best score: 669.4989, Min: 404.4702, Avg: 568.4838
#Ep: 1-83, Best score: 745.6852, Min: 417.5954, Avg: 597.6277
#Ep: 1-82, Best score: 768.1393, Min: 457.7186, Avg: 610.4604
#Ep: 1-81, Best score: 714.3098, Min: 461.5893, Avg: 626.9911
#Ep: 1-80, Best score: 691.3050, Min: 484.3414, Avg: 617.3363
#Ep: 1-79, Best score: 719.4384, Min: 451.7376, Avg: 620.5765
#Ep: 1-78, Best score: 759.2541, Min: 493.3773, Avg: 615.6721
#Ep: 1-77, Best score: 722.8341, Min: 435.8437, Avg: 613.0339
#Ep: 1-76, Best score: 741.9964, Min: 437.6350, Avg: 599.2161
#Ep: 1-75, Best score: 784.3151, Min: 437.9803, Avg: 596.9266
#Ep: 1-74, Best score: 737.4105, Min: 466.8189, Avg: 621.0598
#Ep: 1-73, Best score: 745.6057, Min: 475.4701, Avg: 604.5111
#Ep: 1-72, Best score: 670.3254, Min: 459.9212, Avg: 582.6881
#Ep: 1-71, Best score: 715.1955, Min: 392.8856, Avg: 619.1716
#Ep: 1-70, Best score: 797.4663, Min: 340.2568, Avg: 604.7167
#Ep: 1-69, Best score: 796.2577, Min: 481.7869, Avg: 658.4063
#Ep: 1-68, Best score: 741.9142, Min: 343.0205, Avg: 603.3969
#Ep: 1-67, Best score: 823.3349, Min: 488.2278, Avg: 642.3705
#Ep: 1-66, Best score: 703.9581, Min: 419.7344, Avg: 588.4954
#Ep: 1-65, Best score: 827.8205, Min: 300.1731, Avg: 585.3023
#Ep: 1-64, Best score: 700.3485, Min: 429.9677, Avg: 576.3415
#Ep: 1-63, Best score: 671.0424, Min: 475.7645, Avg: 559.5163
#Ep: 1-62, Best score: 769.8383, Min: 423.9663, Avg: 597.5463
#Ep: 1-61, Best score: 741.1540, Min: 470.4355, Avg: 594.8681
#Ep: 1-60, Best score: 717.6976, Min: 466.3315, Avg: 599.9097
#Ep: 1-59, Best score: 754.5035, Min: 456.9345, Avg: 574.9060
#Ep: 1-58, Best score: 744.9030, Min: 414.2777, Avg: 586.5000
#Ep: 1-57, Best score: 737.6813, Min: 532.5924, Avg: 624.6868
#Ep: 1-56, Best score: 758.5119, Min: 447.7170, Avg: 564.7892
#Ep: 1-55, Best score: 677.7054, Min: 417.1032, Avg: 551.8857
#Ep: 1-54, Best score: 795.5239, Min: 507.5913, Avg: 630.1078
#Ep: 1-53, Best score: 759.4696, Min: 416.4149, Avg: 641.9056
#Ep: 1-52, Best score: 680.5535, Min: 469.3095, Avg: 560.3009
