Ep: 1-190, Best score: 196.0289, Min: 31.4879, Avg: 132.9280
Ep: 1-189, Best score: 325.1012, Min: 3.5599, Avg: 122.8989
Ep: 1-188, Best score: 194.1176, Min: -4.9296, Avg: 103.8325
Ep: 1-187, Best score: 186.7133, Min: -64.4970, Avg: 68.0509
Ep: 1-186, Best score: 195.1389, Min: 24.0602, Avg: 97.3562
Ep: 1-185, Best score: 197.4910, Min: 69.0141, Avg: 133.1637
Ep: 1-184, Best score: 203.1359, Min: 58.7838, Avg: 140.8601
Ep: 1-183, Best score: 142.5249, Min: -2.3669, Avg: 77.1598
Ep: 1-182, Best score: 215.2866, Min: 74.0614, Avg: 122.2016
Ep: 1-181, Best score: 128.1879, Min: -49.3243, Avg: 25.0799
Ep: 1-180, Best score: 198.9691, Min: 51.2027, Avg: 133.7240
Ep: 1-179, Best score: 166.0256, Min: 45.2703, Avg: 137.5604
Ep: 1-178, Best score: 172.7273, Min: 10.0917, Avg: 128.1984
Ep: 1-177, Best score: 168.9394, Min: -6.1372, Avg: 100.5226
Ep: 1-176, Best score: 214.0794, Min: -0.0000, Avg: 105.0393
Ep: 1-175, Best score: 134.6154, Min: 16.5049, Avg: 58.7268
Ep: 1-174, Best score: 99.4220, Min: -35.5932, Avg: 42.8406
Ep: 1-173, Best score: 184.5850, Min: -10.8911, Avg: 90.2386
Ep: 1-172, Best score: 244.8276, Min: -28.5714, Avg: 87.2329
Ep: 1-171, Best score: 141.9355, Min: -31.8885, Avg: 63.1381
Ep: 1-170, Best score: 112.5436, Min: -37.5000, Avg: 28.2949
Ep: 1-169, Best score: 155.4745, Min: -20.7921, Avg: 68.0723
Ep: 1-168, Best score: 155.8923, Min: -68.2997, Avg: 61.5144
Ep: 1-167, Best score: 110.5263, Min: -46.4883, Avg: 64.7272
Ep: 1-166, Best score: 150.0000, Min: -45.3376, Avg: 45.4176
Ep: 1-165, Best score: 148.2517, Min: -3.7037, Avg: 73.0446
Ep: 1-164, Best score: 170.1754, Min: 43.3225, Avg: 92.3165
Ep: 1-163, Best score: 143.3333, Min: -76.5101, Avg: 43.1653
Ep: 1-162, Best score: 116.1172, Min: 81.5068, Avg: 95.0681
Ep: 1-161, Best score: 125.4902, Min: -63.2107, Avg: 43.0014
Ep: 1-160, Best score: 130.7692, Min: 11.4650, Avg: 83.2332
Ep: 1-159, Best score: 121.1221, Min: -51.6616, Avg: 45.4107
Ep: 1-158, Best score: 130.5085, Min: -9.7222, Avg: 92.0269
Ep: 1-157, Best score: 206.3380, Min: -5.5944, Avg: 73.8505
Ep: 1-156, Best score: 120.2797, Min: 38.5135, Avg: 90.2827
Ep: 1-155, Best score: 141.7582, Min: 40.0560, Avg: 96.7361
Ep: 1-154, Best score: 141.1348, Min: -13.0435, Avg: 71.1411
Ep: 1-153, Best score: 151.7007, Min: 108.6331, Avg: 135.1120
Ep: 1-152, Best score: 191.0448, Min: 107.6677, Avg: 142.5935
Ep: 1-151, Best score: 200.7813, Min: -42.5287, Avg: 108.5674
Ep: 1-150, Best score: 150.0000, Min: 19.8502, Avg: 105.3866
Ep: 1-149, Best score: 164.6048, Min: 4.0892, Avg: 113.3450
Ep: 1-148, Best score: 142.4242, Min: 62.9393, Avg: 114.6946
Ep: 1-147, Best score: 156.2278, Min: 80.0000, Avg: 117.1445
Ep: 1-146, Best score: 169.9620, Min: 7.3826, Avg: 105.9387
Ep: 1-145, Best score: 143.5897, Min: -18.4953, Avg: 86.9160
Ep: 1-144, Best score: 143.6364, Min: 115.9091, Avg: 129.4919
Ep: 1-143, Best score: 147.3118, Min: 34.7518, Avg: 103.4119
Ep: 1-142, Best score: 186.2595, Min: 38.8013, Avg: 111.7364
Ep: 1-141, Best score: 145.2107, Min: -18.1287, Avg: 55.5011
Ep: 1-140, Best score: 151.6779, Min: 114.5594, Avg: 132.0684
Ep: 1-139, Best score: 160.0733, Min: 73.3333, Avg: 123.5204
Ep: 1-138, Best score: 129.0076, Min: 16.6078, Avg: 72.4867
Ep: 1-137, Best score: 149.0119, Min: 95.5307, Avg: 108.9142
Ep: 1-136, Best score: 162.5483, Min: 2.9900, Avg: 108.5269
Ep: 1-135, Best score: 147.2727, Min: 28.0277, Avg: 96.4048
Ep: 1-134, Best score: 162.4113, Min: 51.4196, Avg: 114.7528
Ep: 1-133, Best score: 117.3913, Min: 72.6384, Avg: 94.9467
Ep: 1-132, Best score: 179.2208, Min: 76.6562, Avg: 116.8825
Ep: 1-131, Best score: 196.7033, Min: 29.4964, Avg: 129.9245
Ep: 1-130, Best score: 329.6296, Min: 35.7143, Avg: 172.9511
