Ep: 0-264, Best score: -43.8944, Min: -64.8562, Avg: -51.7255
Ep: 0-263, Best score: -25.0000, Min: -50.1779, Avg: -36.0815
Ep: 0-262, Best score: -0.9901, Min: -56.2290, Avg: -30.6388
Ep: 0-261, Best score: -19.1919, Min: -57.0957, Avg: -37.8811
Ep: 0-260, Best score: -21.5017, Min: -56.0117, Avg: -35.5221
Ep: 0-259, Best score: -44.2379, Min: -75.8621, Avg: -54.4250
Ep: 0-258, Best score: -0.3436, Min: -39.2971, Avg: -20.4663
Ep: 0-257, Best score: -27.5862, Min: -50.4950, Avg: -42.3888
Ep: 0-256, Best score: -14.1631, Min: -70.1493, Avg: -39.3800
Ep: 0-255, Best score: -25.2669, Min: -77.6358, Avg: -42.8469
Ep: 0-254, Best score: -20.6349, Min: -79.0210, Avg: -39.2933
Ep: 0-253, Best score: -10.3448, Min: -52.8986, Avg: -31.1173
Ep: 0-252, Best score: -21.1470, Min: -47.1947, Avg: -39.3321
Ep: 0-251, Best score: -15.0579, Min: -37.0370, Avg: -27.1079
Ep: 0-250, Best score: -29.2929, Min: -41.1765, Avg: -34.7758
Ep: 0-249, Best score: -26.7399, Min: -47.5655, Avg: -39.4305
Ep: 0-248, Best score: -25.1969, Min: -46.2366, Avg: -36.2881
Ep: 0-247, Best score: -20.4545, Min: -52.7027, Avg: -37.5721
Ep: 0-246, Best score: -4.7619, Min: -45.5782, Avg: -28.7199
Ep: 0-245, Best score: -22.4806, Min: -47.5655, Avg: -34.6046
Ep: 0-244, Best score: -26.0563, Min: -40.7666, Avg: -35.0264
Ep: 0-243, Best score: -30.1471, Min: -45.0549, Avg: -36.6110
Ep: 0-242, Best score: -3.4749, Min: -69.0402, Avg: -38.7593
Ep: 0-241, Best score: -14.4981, Min: -40.7895, Avg: -26.8501
Ep: 0-240, Best score: -12.9032, Min: -44.6154, Avg: -32.4900
Ep: 0-239, Best score: -14.0893, Min: -83.9744, Avg: -44.2906
Ep: 0-238, Best score: -17.2662, Min: -37.5000, Avg: -29.2672
Ep: 0-237, Best score: -31.1475, Min: -78.3394, Avg: -58.0195
Ep: 0-236, Best score: -32.6241, Min: -55.9322, Avg: -47.8897
Ep: 0-235, Best score: -24.8120, Min: -54.0636, Avg: -35.2490
Ep: 0-234, Best score: -36.4548, Min: -50.6579, Avg: -44.7123
Ep: 0-233, Best score: -38.9068, Min: -51.1278, Avg: -45.2297
Ep: 0-232, Best score: -12.5874, Min: -52.6814, Avg: -36.1276
Ep: 0-231, Best score: -32.4759, Min: -58.6207, Avg: -46.2304
Ep: 0-230, Best score: -18.7279, Min: -54.8387, Avg: -39.6927
Ep: 0-229, Best score: -13.5338, Min: -55.9229, Avg: -41.5221
Ep: 0-228, Best score: -14.7541, Min: -41.5584, Avg: -32.7570
Ep: 0-227, Best score: -33.3333, Min: -57.9288, Avg: -42.8979
Ep: 0-226, Best score: -21.7082, Min: -54.6828, Avg: -42.5743
Ep: 0-225, Best score: -10.9589, Min: -45.4023, Avg: -30.6619
Ep: 0-224, Best score: -11.3475, Min: -44.6254, Avg: -29.5890
Ep: 0-223, Best score: 4.8951, Min: -74.7292, Avg: -38.4400
Ep: 0-222, Best score: -22.5589, Min: -52.5223, Avg: -39.9256
Ep: 0-221, Best score: 6.0071, Min: -37.7163, Avg: -23.3560
Ep: 0-220, Best score: -25.6757, Min: -54.0984, Avg: -35.4848
Ep: 0-219, Best score: -0.3984, Min: -36.2550, Avg: -25.3407
Ep: 0-218, Best score: -2.1407, Min: -78.7234, Avg: -29.1591
Ep: 0-217, Best score: -19.1176, Min: -49.2063, Avg: -30.9136
Ep: 0-216, Best score: -21.2329, Min: -78.7234, Avg: -40.8154
Ep: 0-215, Best score: -34.2105, Min: -77.4194, Avg: -55.4628
Ep: 0-214, Best score: -12.4579, Min: -75.1773, Avg: -41.9726
Ep: 0-213, Best score: -6.7524, Min: -74.8201, Avg: -30.6574
Ep: 0-212, Best score: -31.6547, Min: -48.9796, Avg: -42.1286
Ep: 0-211, Best score: -17.6471, Min: -29.0780, Avg: -23.0429
Ep: 0-210, Best score: -24.0924, Min: -72.2222, Avg: -48.8635
Ep: 0-209, Best score: -17.9104, Min: -53.6424, Avg: -37.8321
Ep: 0-208, Best score: -16.3763, Min: -46.0432, Avg: -34.3188
Ep: 0-207, Best score: -31.2715, Min: -77.1987, Avg: -55.4821
Ep: 0-206, Best score: -3.3333, Min: -41.6058, Avg: -21.9154
Ep: 0-205, Best score: -14.8936, Min: -51.9231, Avg: -35.3124
Ep: 0-204, Best score: -34.4262, Min: -49.6644, Avg: -41.7069
Ep: 0-203, Best score: -35.5828, Min: -61.4148, Avg: -46.2556
Ep: 0-202, Best score: -21.7687, Min: -44.4444, Avg: -30.1404
Ep: 0-201, Best score: -15.3605, Min: -47.5806, Avg: -31.4072
Ep: 0-200, Best score: -31.0345, Min: -56.3758, Avg: -46.8141
Ep: 0-199, Best score: -14.8936, Min: -61.6613, Avg: -38.7466
Ep: 0-198, Best score: -26.0563, Min: -53.4884, Avg: -39.7257
Ep: 0-197, Best score: -26.1993, Min: -82.2064, Avg: -42.3949
Ep: 0-196, Best score: -27.0833, Min: -48.3871, Avg: -37.5232
Ep: 0-195, Best score: -15.6118, Min: -48.2072, Avg: -31.9645
Ep: 0-194, Best score: -24.8120, Min: -49.4949, Avg: -37.9218
Ep: 0-193, Best score: -6.1489, Min: -43.1818, Avg: -23.9580
Ep: 0-192, Best score: -23.6364, Min: -51.2987, Avg: -40.4000
Ep: 0-191, Best score: -35.6913, Min: -81.9820, Avg: -48.5433
Ep: 0-190, Best score: -1.8868, Min: -31.7406, Avg: -22.0823
Ep: 0-189, Best score: -26.4706, Min: -55.8824, Avg: -44.9862
Ep: 0-188, Best score: -33.1104, Min: -50.6579, Avg: -40.8789
Ep: 0-187, Best score: -35.4839, Min: -55.2716, Avg: -46.0996
Ep: 0-186, Best score: -8.7452, Min: -45.7364, Avg: -27.6127
Ep: 0-185, Best score: -20.4152, Min: -37.9085, Avg: -28.3311
Ep: 0-184, Best score: -37.5000, Min: -60.0000, Avg: -46.5986
Ep: 0-183, Best score: -48.6301, Min: -52.0548, Avg: -50.9237
Ep: 0-182, Best score: -33.0855, Min: -56.0811, Avg: -41.9907
Ep: 0-181, Best score: -17.5258, Min: -52.9412, Avg: -40.6049
Ep: 0-180, Best score: -43.2624, Min: -61.8768, Avg: -52.4497
Ep: 0-179, Best score: -10.3943, Min: -54.8611, Avg: -40.0731
Ep: 0-178, Best score: -32.9268, Min: -66.1538, Avg: -49.3864
Ep: 0-177, Best score: -35.0649, Min: -54.2254, Avg: -42.4388
Ep: 0-176, Best score: -25.7951, Min: -56.6787, Avg: -43.6087
Ep: 0-175, Best score: -40.5204, Min: -48.6301, Avg: -44.0038
Ep: 0-174, Best score: -37.2822, Min: -49.6644, Avg: -43.4033
Ep: 0-173, Best score: -9.7473, Min: -56.8966, Avg: -41.4076
Ep: 0-172, Best score: -37.0370, Min: -58.6207, Avg: -44.3934
Ep: 0-171, Best score: -13.6691, Min: -50.8197, Avg: -39.0197
Ep: 0-170, Best score: -40.9594, Min: -46.6192, Avg: -43.8760
Ep: 0-169, Best score: -33.0855, Min: -62.1451, Avg: -45.6126
Ep: 0-168, Best score: -46.1279, Min: -64.4128, Avg: -52.6562
Ep: 0-167, Best score: -35.3741, Min: -49.6644, Avg: -42.9162
Ep: 0-166, Best score: -18.2879, Min: -61.8056, Avg: -37.1370
Ep: 0-165, Best score: -31.1475, Min: -61.9377, Avg: -45.8796
Ep: 0-164, Best score: -14.6758, Min: -62.4573, Avg: -44.8626
Ep: 0-163, Best score: -31.8182, Min: -56.2500, Avg: -49.5922
Ep: 0-162, Best score: -18.2390, Min: -64.8438, Avg: -42.5237
Ep: 0-161, Best score: -4.1534, Min: -64.0288, Avg: -25.5467
Ep: 0-160, Best score: -36.3296, Min: -71.7868, Avg: -56.8537
Ep: 0-159, Best score: -43.8202, Min: -67.2727, Avg: -56.4411
Ep: 0-158, Best score: -40.5204, Min: -73.4219, Avg: -58.1796
Ep: 0-157, Best score: -26.1745, Min: -66.4179, Avg: -51.2898
Ep: 0-156, Best score: -47.5410, Min: -64.1577, Avg: -52.3585
Ep: 0-155, Best score: -52.7273, Min: -70.9091, Avg: -59.6970
Ep: 0-154, Best score: -44.2623, Min: -58.0420, Avg: -51.0487
Ep: 0-153, Best score: -31.5068, Min: -50.2075, Avg: -44.3572
Ep: 0-152, Best score: -53.5604, Min: -69.0722, Avg: -62.5218
Ep: 0-151, Best score: -36.8421, Min: -73.3333, Avg: -51.6281
Ep: 0-150, Best score: -49.1525, Min: -68.5535, Avg: -59.5405
Ep: 0-149, Best score: -58.6207, Min: -67.3913, Avg: -63.6639
Ep: 0-148, Best score: -24.3986, Min: -46.4286, Avg: -39.1201
Ep: 0-147, Best score: -40.7115, Min: -67.4556, Avg: -55.9181
Ep: 0-146, Best score: -40.3509, Min: -65.5172, Avg: -55.3453
Ep: 0-145, Best score: -47.0199, Min: -64.5390, Avg: -53.6393
Ep: 0-144, Best score: -39.7590, Min: -51.6729, Avg: -46.4363
Ep: 0-143, Best score: -18.9189, Min: -62.5850, Avg: -44.8729
Ep: 0-142, Best score: -49.6124, Min: -60.9610, Avg: -54.3975
Ep: 0-141, Best score: -28.3019, Min: -65.4088, Avg: -52.9686
Ep: 0-140, Best score: -22.5352, Min: -59.5588, Avg: -46.9162
Ep: 0-139, Best score: -42.0849, Min: -62.7329, Avg: -48.7549
Ep: 0-138, Best score: 7.2797, Min: -58.8608, Avg: -40.8543
Ep: 0-137, Best score: -14.1791, Min: -55.5556, Avg: -36.3547
Ep: 0-136, Best score: -31.1475, Min: -59.3023, Avg: -46.2234
Ep: 0-135, Best score: -41.9795, Min: -62.0253, Avg: -47.9457
Ep: 0-134, Best score: -3.1142, Min: -56.9536, Avg: -35.6428
Ep: 0-133, Best score: -20.9622, Min: -60.5263, Avg: -46.3478
Ep: 0-132, Best score: -22.7799, Min: -52.8620, Avg: -42.3105
