Agent: ddpg, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 188, Reward: 722.6014, Test: 842.4878 [44.28228365526573], Avg: 474.9594 (0.1467)
Ep: 189, Reward: 753.3202, Test: 740.8730 [164.00809845552078], Avg: 477.2281 (0.1452)
Ep: 190, Reward: 747.8132, Test: 802.0377 [130.89683435347416], Avg: 482.6268 (0.1437)
Ep: 191, Reward: 796.0976, Test: 791.2451 [88.53886643512715], Avg: 486.9611 (0.1423)
Ep: 192, Reward: 790.0791, Test: 760.9737 [193.7814426772098], Avg: 491.8433 (0.1409)
Ep: 193, Reward: 765.7616, Test: 795.0166 [72.61140086152645], Avg: 494.9291 (0.1395)
Ep: 194, Reward: 657.0958, Test: 765.4676 [165.08882756356894], Avg: 498.6288 (0.1381)
Ep: 195, Reward: 712.0234, Test: 842.4946 [30.179800189489317], Avg: 502.4508 (0.1367)
Ep: 196, Reward: 702.0552, Test: 602.3029 [237.71177391043233], Avg: 505.8078 (0.1353)
Ep: 197, Reward: 708.1217, Test: 839.4785 [55.97607223338412], Avg: 509.6135 (0.1340)
Ep: 198, Reward: 673.2965, Test: 711.2550 [186.0708663467716], Avg: 513.0369 (0.1326)
Ep: 199, Reward: 667.3509, Test: 833.7918 [62.58387502050506], Avg: 518.2656 (0.1313)
Ep: 200, Reward: 735.4194, Test: 813.7563 [62.81795746207498], Avg: 521.3235 (0.1300)
Ep: 201, Reward: 765.6784, Test: 798.1560 [87.76630765004336], Avg: 524.5947 (0.1287)
Ep: 202, Reward: 758.3986, Test: 707.0663 [175.260066694086], Avg: 526.2055 (0.1274)
Ep: 203, Reward: 614.6921, Test: 686.4660 [186.82573088221022], Avg: 527.1885 (0.1261)
Ep: 204, Reward: 628.5257, Test: 608.0157 [232.4265853639197], Avg: 529.2587 (0.1249)
Ep: 205, Reward: 602.7035, Test: 668.2984 [131.05720161165206], Avg: 530.8103 (0.1236)
Ep: 206, Reward: 697.5999, Test: 513.8311 [158.39448286736456], Avg: 530.1899 (0.1224)
Ep: 207, Reward: 717.8038, Test: 670.9587 [118.98031259380902], Avg: 531.4797 (0.1212)
Ep: 208, Reward: 671.1708, Test: 688.7083 [198.52916854692427], Avg: 533.6732 (0.1200)
