Agent: ddpg, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 209, Reward: 787.8684, Test: 876.5094, Avg: 545.5319
Ep: 210, Reward: 685.1181, Test: 778.9055, Avg: 551.7242
Ep: 211, Reward: 847.5912, Test: 748.9948, Avg: 557.1714
Ep: 212, Reward: 757.5183, Test: 620.7739, Avg: 562.3109
Ep: 213, Reward: 730.7526, Test: 735.7527, Avg: 567.0323
Ep: 214, Reward: 807.8692, Test: 697.5628, Avg: 574.0823
Ep: 215, Reward: 715.1671, Test: 784.9389, Avg: 581.3858
Ep: 216, Reward: 792.7403, Test: 655.3051, Avg: 587.5176
Ep: 217, Reward: 817.9126, Test: 804.7552, Avg: 594.9728
Ep: 218, Reward: 913.6517, Test: 794.4727, Avg: 601.2912
Ep: 219, Reward: 734.8915, Test: 888.7656, Avg: 609.0508
Ep: 220, Reward: 801.0590, Test: 717.7213, Avg: 614.7899
Ep: 221, Reward: 870.3540, Test: 698.4228, Avg: 620.2844
Ep: 222, Reward: 870.0176, Test: 879.0939, Avg: 627.0234
Ep: 223, Reward: 878.6529, Test: 634.2820, Avg: 632.7872
Ep: 224, Reward: 755.2054, Test: 802.5471, Avg: 639.4559
Ep: 225, Reward: 831.7133, Test: 863.2663, Avg: 646.7432
Ep: 226, Reward: 659.5235, Test: 694.9613, Avg: 652.1171
Ep: 227, Reward: 696.2055, Test: 766.2989, Avg: 656.9623
Ep: 228, Reward: 613.4898, Test: 787.2366, Avg: 663.0088
Ep: 229, Reward: 734.3131, Test: 627.9201, Avg: 666.2766
Ep: 230, Reward: 656.1936, Test: 738.1889, Avg: 672.1757
Ep: 231, Reward: 797.5138, Test: 696.6043, Avg: 674.0827
Ep: 232, Reward: 762.0572, Test: 780.6531, Avg: 679.0339
Ep: 233, Reward: 783.8490, Test: 872.0509, Avg: 685.8250
Ep: 234, Reward: 846.7152, Test: 821.9614, Avg: 692.5304
Ep: 235, Reward: 744.8209, Test: 810.2468, Avg: 698.4769
Ep: 236, Reward: 826.6826, Test: 726.2892, Avg: 702.5452
Ep: 237, Reward: 737.6990, Test: 824.0549, Avg: 708.4211
Ep: 238, Reward: 819.7295, Test: 715.0126, Avg: 712.3397
Ep: 239, Reward: 713.8100, Test: 865.4153, Avg: 717.9943
Ep: 240, Reward: 854.0207, Test: 847.3808, Avg: 724.7807
Ep: 241, Reward: 788.8126, Test: 857.1308, Avg: 727.1106
Ep: 242, Reward: 838.1544, Test: 841.0104, Avg: 730.0863
Ep: 243, Reward: 809.7437, Test: 751.7950, Avg: 733.6147
Ep: 244, Reward: 874.8339, Test: 862.8943, Avg: 737.1364
Ep: 245, Reward: 812.7979, Test: 827.9734, Avg: 738.6211
Ep: 246, Reward: 832.8930, Test: 822.9669, Avg: 739.7117
Ep: 247, Reward: 771.5797, Test: 636.6413, Avg: 739.2604
Ep: 248, Reward: 851.9550, Test: 752.2610, Avg: 739.8767
Ep: 249, Reward: 812.3716, Test: 872.5080, Avg: 740.9995
Ep: 250, Reward: 869.9283, Test: 742.2600, Avg: 741.4768
Ep: 251, Reward: 838.7898, Test: 666.0598, Avg: 740.5095
Ep: 252, Reward: 926.4256, Test: 855.6170, Avg: 741.3009
Ep: 253, Reward: 589.7457, Test: 562.7535, Avg: 739.8178
Ep: 254, Reward: 670.3877, Test: 856.1270, Avg: 741.0390
Ep: 255, Reward: 748.3144, Test: 694.4242, Avg: 741.7932
Ep: 256, Reward: 713.8417, Test: 652.9434, Avg: 744.4287
Ep: 257, Reward: 585.7482, Test: 884.6462, Avg: 746.1686
Ep: 258, Reward: 676.2815, Test: 682.9304, Avg: 745.4974
Ep: 259, Reward: 824.7206, Test: 800.0506, Avg: 746.1859
Ep: 260, Reward: 795.0001, Test: 812.1220, Avg: 746.8718
